label,ns,ne,nw,nh,nk,na,nf,se,sw,sh,sk,sa,sf,ew,eh,ek,ea,ef,wh,wk,wa,wf,hk,ha,hh,hf,ka,kh,kf,ah,af
correct,5.248441256,12.29654239,8.587190375,52.71581097,32.24001539,50.01744508,52.34254154,7.516066764,4.547756804,47.75124275,27.30938663,45.03639577,47.7674731,3.966869107,40.41987822,19.94362376,37.723856,40.25305733,44.23351126,23.76648554,41.55245403,43.75940694,16.6230412,34.33511018,37.05019631,7.98413379,17.78686333,20.47668162,21.09882171,2.740016211,8.620898886
correct,2.408355003,13.13573399,11.14984137,49.17126173,30.55955057,46.727687,47.43866982,12.15342297,9.153138908,48.13376542,29.58024102,45.69042145,46.71530025,6.667870239,36.05044273,17.45426248,33.60623511,34.57852758,40.18246045,22.0852765,37.76376484,39.55472819,15.94408462,32.09818787,34.53495592,6.163377371,16.17332516,18.61537293,17.4737214,2.444274638,5.902276234
correct,16.78648074,6.014102804,9.862866376,45.0464469,40.70105513,43.34723566,36.11670262,11.13494414,21.46680898,28.26458657,24.00695598,26.56398201,19.64473259,11.40637115,39.33700799,35.1406246,37.63316094,30.73778929,48.47579847,44.80180062,46.78921978,40.87477786,4.150912388,7.741796492,9.154350007,10.10279273,3.700386387,5.010833923,5.108057293,1.704595843,8.664278428
correct,2.785174974,10.5611817,9.231756014,46.19221978,27.22164069,42.51554169,43.90468047,9.10273888,6.661126162,45.30236623,26.32770799,41.59682237,43.42576347,5.69747587,36.28315291,17.36845211,32.56922454,34.74762138,40.8793944,22.29204606,37.16500203,39.87457972,15.4055716,30.70298203,34.39190311,6.482029979,15.29764421,18.98800953,17.61556326,3.718680354,6.562362485
correct,5.203592824,5.495634508,6.996875457,47.8426983,26.54424103,45.10354546,47.53230424,10.21135842,9.328266996,53.00491097,31.72107083,50.26145452,52.73488781,5.114433845,43.01026454,21.8551433,40.25746417,43.17114079,46.25088025,25.56437886,43.50015473,46.99665168,19.20241806,37.78192735,40.50322116,6.426879296,18.58182696,21.30991266,21.43288478,2.755344142,7.007451798
correct,8.261331823,4.439598461,8.811362813,31.05990692,23.97723578,29.28836583,24.82970132,6.029265328,12.01667759,23.2429258,16.26738421,21.47364849,17.5199894,6.422164837,29.19970384,22.27212716,27.43601801,23.54734227,34.44807511,27.7773229,32.72094613,29.317175,5.607331892,10.92517353,12.6944013,6.973704707,5.331129275,7.094359031,2.557866043,1.773061225,5.439393686
correct,2.401540471,13.15332649,11.2117677,49.16104017,30.54002451,46.76880082,47.53128395,12.18919175,9.231056318,48.14813003,29.59314798,45.75724193,46.83196733,6.671139156,36.02469886,17.42488734,33.63220558,34.66148395,40.14207383,22.07476898,37.77845749,39.62322378,15.95282824,32.16927859,34.55498438,6.127504736,16.23682453,18.62751552,17.54948905,2.392503412,5.880930462
correct,10.70461604,7.211271838,10.98450824,37.83086214,30.73892684,35.86754606,31.12392457,5.671798822,13.48551894,28.34880679,21.27891476,26.37583343,22.52745834,8.097456877,33.98490665,26.93237365,32.01465643,28.18355437,41.19889423,34.29041331,39.25571695,35.89914915,4.550176184,9.687757659,11.66039955,7.672915679,5.137596349,7.110782692,3.891154573,1.975707521,6.105158433
correct,5.498549858,8.798123291,6.659432199,53.17389721,29.15187967,50.45673237,53.46220719,13.70359624,10.77467255,58.27017073,34.25983065,55.52802881,58.82898874,3.549833786,44.56669071,20.55962528,41.82608454,45.32574492,47.65854391,23.73966615,44.89864514,48.68896002,20.26032083,41.56522674,44.28281145,7.858700521,21.30496561,24.02579157,25.20178402,2.786104918,8.85184759
correct,2.611054119,13.13829548,11.73754405,48.87062924,30.65257818,46.3287254,47.55177346,12.24359701,9.659476703,47.98160053,29.84100121,45.44108171,47.02217725,6.805045981,35.78206162,17.60409195,33.23979975,34.81585732,39.79285943,22.23501782,37.28794193,39.73195906,15.88411092,31.55910591,34.09517871,6.186609365,15.68445406,18.22435053,17.49715899,2.542408049,6.096994422
correct,11.8010992,7.27212852,11.76427216,41.07759953,33.64689797,39.08895518,33.89717763,7.435516238,16.30929841,29.32651955,21.86629929,27.34965893,22.10720107,9.084430916,35.13985381,27.92289054,33.13060502,28.23237695,41.12102278,34.47244856,39.14165957,34.85079548,7.013409589,12.51570363,14.29990235,7.341015597,5.601541506,7.509147661,0.475715494,2.009819508,5.483004106
correct,8.240628604,4.369732328,8.897554233,31.15066314,23.90041924,29.24269157,24.99210733,5.970298964,12.0673215,23.37378393,16.26236379,21.47476531,17.7255005,6.577140315,29.28794719,22.22112804,27.39595152,23.69075733,34.63376035,27.86036499,32.78938629,29.57209547,5.495885581,10.85386201,12.75945882,6.908403231,5.376361807,7.275232042,2.477861939,1.908096949,5.237514541
